stage,drug,target
early,edoxaban,F10|CYP3A5
early,penfluridol,DRD1|DRD2|CACNA1G
early,romidepsin,HDAC1|HDAC2|CYP2B6|CYP2C19|CYP3A5|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9
early,clebopride,DRD2|ACHE
early,benzamil,PKD2L1|SCNN1A|SCNN1B|SCNN1G|ASIC1|SCNN1D|SLC8A1
early,lapatinib,EGFR|ERBB2|CYP3A5
early,tandutinib,FLT3|KIT|PDGFRA|PDGFRB|CSF1R|PDGFD
early,clofarabine,RRM1|POLA1|RRM2|SLC22A8|POLD1|POLE|RRM2B
early,gemcitabine,RRM1|CMPK1|RRM2|TYMS
early,erteberel,ESR2|ESR1
early,exemestane,CYP19A1
early,cinobufagin,ATP1A1
early,adapalene,RARB|RARG|RARA|RXRA|RXRB|RXRG
early,tacedinaline,HDAC1
early,teniposide,TOP2A|CYP3A5|TOP2B
early,salermide,SIRT1|SIRT2
early,purmorphamine,SMO|DHH|IHH|PTCH1
early,strophanthidin,ATP1A1
early,mesulergine,HTR2A|HTR2C|HTR7|HTR2B|HTR3A|HTR3B|HTR6
early,doxorubicin,TOP2A
early,cabozantinib,KDR|MET|FLT3|KIT|RET|TEK|CYP2C19
early,adarotene,RARG|RARA|RARB
early,withaferin-a,IKBKB|NAMPT
early,ranolazine,SCN5A|SCN9A|SLC22A2|SCN10A|SCN4A
early,anisomycin,RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1|SNU13
early,rosmarinic-acid,MCL1|TYR
early,bitopertin,SLC6A9|SLC6A5
early,pimozide,DRD2|DRD3|HTR2A|CACNA1I|CALM1|DRD1|DRD4|DRD5|HRH1|HTR1A|KCNA10|KCNH2
early,importazole,KPNB1
early,ryuvidine,CDK4|CDK2
early,retinol,ALDH1A1|ALDH1A2|ALDH1A3|DHRS3|DHRS4|LRAT|NR2C2|RBP1|RBP3|RDH11|RDH12|RDH13|RDH14|RDH5|RDH8|RETSAT|RHO|RLBP1|RXRA|RXRB|RXRG
early,mirodenafil,PDE5A
early,doxazosin,ADRA1D|ADRA1A|ADRA1B|CYP2C19|KCNH2|KCNH6|KCNH7
early,methysergide,HTR2C|HTR1B|HTR1E|HTR1F|HTR2A|HTR2B|HTR7|HTR1A|HTR1D|HTR5A|HTR6
early,aminocaproic-acid,PLG|PLAT|LPA
early,alectinib,ALK|MET
early,ouabain,ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|ATP1B4|FXYD2
early,alitretinoin,RARG|RARA|RARB|RXRA|RXRG|RXRB
early,menadione,PKM|AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1
early,rofecoxib,PTGS2|CYP3A4|ELN
early,rizatriptan,HTR1D|HTR1B|HTR1F|HTR1A|HTR1E
early,clozapine,DRD4|DRD2|DRD3|HTR2A|ADRA1A|ADRA1B|CHRM1|DRD1|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR2C|HTR6|HTR7|CYP2C19|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALY|CHRM2|CHRM3|CHRM4|CHRM5|DRD5|HTR1F|HTR2B|HTR3A|HTR5A
early,dexketoprofen,PTGS2|PTGS1
early,ethoprop,ACHE
early,strophanthidin,ATP1A1
early,fulvestrant,ESR1|EPHX2|ESR2|GPER1
early,capecitabine,TYMS|DPYD
early,etoposide,TOP2A|TOP2B|CYP2E1|CYP3A5
early,canagliflozin,SLC5A2|SLC5A1|CYP2B6|CYP2C8
early,irinotecan,TOP1|CYP3A5|TOP1MT
early,tolbutamide,ABCC8|KCNJ11|CYP2B6|CYP2C19|CYP2C8|KCNJ1|KCNJ8
early,genz-644282,TOP1
early,niacin,HCAR2|HCAR3|DGAT2|HCAR1|NNMT|QPRT
early,cerivastatin,HMGCR
early,tacedinaline,HDAC1
early,quinethazone,SLC12A3|CA1|CA2|SLC12A1|SLC12A2
early,dapivirine,CYP3A5|CYP2B6|CYP2C19|CYP2C8|CYP3A4
early,valrubicin,TOP2A
early,apigenin,CYP1A2|MAOA|ODC1|XDH|AKR1B1|AR|CDK6|CFTR|CYP19A1|CYP1B1|HSD17B1
early,mefenamic-acid,PTGS2|PTGS1|KCNQ1|TRPM3
early,tolcapone,COMT|TTR
early,sonidegib,SMO
early,dinoprostone,PTGER2|PTGER1|PTGER3|PTGER4|CATSPER1|CATSPER2|CATSPER3|CATSPER4|PTGDR|PTGDR2|PTGFR|TBXA2R
early,adiphenine,CHRNA1
early,zaldaride,CALM1
early,mirtazapine,ADRA2A|HTR2A|HTR2C|ADRA2C|HTR3A|ADRA2B|ADRA1A|ADRA1B|ADRA1D|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD5|HRH1|HRH3|HTR2B|HTR7|OPRK1|SLC6A2|SLC6A3|SLC6A4
early,lomitapide,MTTP|CYP2B6|CYP2C19|CYP2C8
early,entinostat,HDAC1|HDAC2|HDAC3|HDAC9
early,travoprost,PTGFR
early,everolimus,MTOR|CYP3A5|FKBP1A
early,dexamethasone,NR3C1
early,dexamethasone,NR3C1
early,indobufen,PTGS1|PTGS2
early,verapamil,CACNA1C|CACNA1D|CACNA1G|CACNA1S|CYP2C8|CYP2E1|CYP3A5|CYP3A7|DRD2|CACNA1A|CACNA1B|CACNA1F|CACNA1I|CACNB1|CACNB2|CACNB3|CACNB4|CYP3A4|KCNA10|KCNA7|KCNH2|KCNJ11|NALCN|SCN5A|SLC29A4|SLC6A4
early,sapropterin,PAH|TH|DBH|NOS3|TPH1
early,metamizole,PTGS1
early,sulfinpyrazone,ABCC1|SLC22A12|ABCC2|FPR1
early,nisoldipine,CACNA1C|CACNA1D|CACNA1S|CYP3A5|CACNA1F|CACNA2D1|CACNB2
early,propantheline,CHRM1|CHRM2|CHRM3|CHRM4
early,isoreserpine,SLC18A2|SLC18A1
early,vicriviroc,CCR5
early,fenofibrate,PPARA|APOA1|CYP2C19|CYP2C8|MMP25
early,erythromycin,MLNR
early,rifampicin,NR1I2|ABCB1|CYP2B6|CYP2C19|CYP2C8|CYP3A4|CYP3A5|SLCO1A2|SLCO1B1|SLCO1B3
early,xamoterol,ADRB1
early,dacinostat,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9
early,mesoridazine,DRD2|HTR2A
early,guggulsterone,NR1H4|PGR|AR|NR3C1|NR3C2
early,acexamic-acid,GAST|SRD5A1
early,ketanserin,HTR2A|HTR2C|ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2B|HTR5A|HTR7|SLC18A1|SLC18A2
early,hexachlorophene,ENPP2|GLUD1|SDHD
early,resminostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8
early,reboxetine,SLC6A2
early,thiothixene,HTR2A|DRD1|DRD2|HRH1
early,dicycloverine,CHRM1|CHRM2|CHRM3
early,dimethyl-fumarate,KEAP1|NFE2L2
early,ritonavir,CYP3A4|CYP1A2|CYP2B6|CYP2C19|CYP3A5|CYP3A7|CYP2C8|CYP2C9|CYP2D6|CYP2E1
early,methantheline,CHRM1|HRH2
early,memantine,GRIN1|CYP2E1|CHRFAM7A|DRD2|GRIN2A|GRIN2B|GRIN3A|HTR3A
early,nomegestrol-acetate,PGR
early,veliparib,PARP1|PARP2
early,darifenacin,CHRM3|CHRM1|CHRM2|CHRM4|CHRM5
early,methimazole,TPO
early,thalidomide,TNF|CRBN|CYP1A2|CYP2B6|CYP2C19|CYP3A5|FGFR2|NFKB1|ORM1|ORM2|PTGS2
early,fraxidin,CA12
early,ranolazine,SCN5A|SCN9A|SLC22A2|SCN10A|SCN4A
early,cyclophosphamide,CYP2B6|CYP2C19|CYP3A5|BCL2|LGALS1|CYP2A6|CYP2C18|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A7
early,oxprenolol,ADRB1|ADRB2
early,zacopride,HTR3A|HTR4|HTR3B|HTR5A
early,atorvastatin,HMGCR|DPP4|CYP3A5|FASLG|AHR
early,acarbose,GAA|MGAM|AMY2A|SI
early,ecopipam,DRD1|DRD5
early,cutamesine,SIGMAR1
early,vicriviroc,CCR5
early,safinamide,MAOB|SLC6A3
early,talazoparib,PARP2|PARP1
early,everolimus,MTOR|CYP3A5|FKBP1A
early,aminoglutethimide,CYP19A1|CYP11A1|NR3C1
early,spiperone,DRD2|ADRA1A|DRD3|DRD4|HTR1A|HTR2A|HTR7|ADRA1B|ADRA1D|DRD1|DRD5|HTR1D|HTR2B|HTR2C|HTR6
early,betulinic-acid,GPBAR1|CASP3|CASP8|TOP1
early,m-chlorophenylbiguanide,HTR3A|HTR3B
early,bendroflumethiazide,SLC12A3|CA1|CA2|CA4|KCNMA1|SLC12A1
early,amlexanox,FGF1|IL3|PDE4A|PDE4B|PDE4C|PDE4D|S100A12|S100A13
early,metolazone,SLC12A3|CA2|CA7
early,trifluridine,TYMS
early,fatostatin,SREBF1|SREBF2
early,fenoterol,ADRB2|ADRB1|ADRB3
early,honokiol,ALOX5|PTGS1|PTGS2
early,indapamide,SLC12A3|KCNQ1|CA7|KCNE1
early,verapamil,CACNA1C|CACNA1D|CACNA1G|CACNA1S|CYP2C8|CYP2E1|CYP3A5|CYP3A7|DRD2|CACNA1A|CACNA1B|CACNA1F|CACNA1I|CACNB1|CACNB2|CACNB3|CACNB4|CYP3A4|KCNA10|KCNA7|KCNH2|KCNJ11|NALCN|SCN5A|SLC29A4|SLC6A4
early,ethylestrenol,AR
early,betahistine,HRH3|HRH1
early,prazosin,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CDK1|KCNH2|KCNH6|KCNH7
early,farnesol,MAOB
early,pyrrolidine-dithiocarbamate,HSD11B1|RELA
early,aminoguanidine,NOS2
early,dovitinib,FGFR1|FLT1|KDR|EGFR|FGFR3|FLT3|FLT4|KIT|PDGFRB|CSF1R|FGFR2|INSR|PDGFRA
early,vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8|HDAC10|HDAC11|HDAC5|HDAC9
early,nicergoline,ADRA1A
early,skatole,CYP2F1
early,phenethyl-isothiocyanate,CYP2E1
early,phenolphthalein,UGT1A9
early,bisindolylmaleimide-ix,SIRT1|LRRK2|SIRT2|AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1
early,methimazole,TPO
early,dinaciclib,CDK1|CDK2|CDK9|CDK5|CCNT1
early,mepivacaine,SCN9A|SCN10A
early,masitinib,KIT|FGFR3|LYN|PDGFRB|PDGFRA
early,lacosamide,SCN3A|SCN9A|SCN1A|SCN10A|CYP2C19|DPYSL2|SCN11A|SCN2A|SCN4A|SCN5A|SCN7A|SCN8A
early,ryuvidine,CDK4|CDK2
early,doxorubicin,TOP2A
early,ceritinib,ALK|FLT3|IGF1R|INSR|TSSK1B
early,vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8|HDAC10|HDAC11|HDAC5|HDAC9
early,bortezomib,PSMB5|PSMB1|PSMB2|CASP3|CYP2C19|NFKB1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB10|PSMB11|PSMB3|PSMB4|PSMB6|PSMB7|PSMB8|PSMB9|PSMD1|PSMD2|RELA
early,romidepsin,HDAC1|HDAC2|CYP2B6|CYP2C19|CYP3A5|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9
early,nisoldipine,CACNA1C|CACNA1D|CACNA1S|CYP3A5|CACNA1F|CACNA2D1|CACNB2
early,genz-644282,TOP1
early,cerivastatin,HMGCR
early,betahistine,HRH3|HRH1
early,orphenadrine,CYP2B6|GRIN1|GRIN2D|GRIN3A|GRIN3B|HRH1|SCN10A|SLC6A2
early,niclosamide,STAT3
early,clozapine,DRD4|DRD2|DRD3|HTR2A|ADRA1A|ADRA1B|CHRM1|DRD1|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR2C|HTR6|HTR7|CYP2C19|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALY|CHRM2|CHRM3|CHRM4|CHRM5|DRD5|HTR1F|HTR2B|HTR3A|HTR5A
early,romidepsin,HDAC1|HDAC2|CYP2B6|CYP2C19|CYP3A5|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9
early,meisoindigo,STAT3
early,beclomethasone-dipropionate,NR3C1|CYP3A5|ADGRG3
early,rifampicin,NR1I2|ABCB1|CYP2B6|CYP2C19|CYP2C8|CYP3A4|CYP3A5|SLCO1A2|SLCO1B1|SLCO1B3
early,bisbenzimide,TOP1
early,pimozide,DRD2|DRD3|HTR2A|CACNA1I|CALM1|DRD1|DRD4|DRD5|HRH1|HTR1A|KCNA10|KCNH2
early,daunorubicin,TOP2A|TOP2B
early,withaferin-a,IKBKB|NAMPT
early,gemcitabine,RRM1|CMPK1|RRM2|TYMS
early,bisindolylmaleimide-ix,SIRT1|LRRK2|SIRT2|AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1
early,cabozantinib,KDR|MET|FLT3|KIT|RET|TEK|CYP2C19
early,altrenogest,PGR
early,clomifene,ESR1|AR
early,sonidegib,SMO
early,digitoxigenin,ATP1A1
early,dapivirine,CYP3A5|CYP2B6|CYP2C19|CYP2C8|CYP3A4
early,ryuvidine,CDK4|CDK2
early,teniposide,TOP2A|CYP3A5|TOP2B
early,ketanserin,HTR2A|HTR2C|ADRA1A|ADRA1B|ADRA1D|DRD1|DRD5|HTR1A|HTR1B|HTR1D|HTR2B|HTR5A|HTR7|SLC18A1|SLC18A2
early,tolmetin,PTGS2|PTGS1
early,canertinib,EGFR|ERBB2|ERBB4|AKT1
early,adapalene,RARB|RARG|RARA|RXRA|RXRB|RXRG
early,importazole,KPNB1
early,gemcitabine,RRM1|CMPK1|RRM2|TYMS
early,aminoguanidine,NOS2
early,delanzomib,CMA1|CTSG|CYP3A4|ELANE
early,veliparib,PARP1|PARP2
early,penfluridol,DRD1|DRD2|CACNA1G
early,clofarabine,RRM1|POLA1|RRM2|SLC22A8|POLD1|POLE|RRM2B
early,tacedinaline,HDAC1
early,cutamesine,SIGMAR1
early,salermide,SIRT1|SIRT2
early,romidepsin,HDAC1|HDAC2|CYP2B6|CYP2C19|CYP3A5|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9
early,everolimus,MTOR|CYP3A5|FKBP1A
early,cinobufagin,ATP1A1
early,digitoxigenin,ATP1A1
early,danazol,GNRHR|ESR1|CYP2C8|TNF|AR|CCL2|GNRHR2|PGR
early,ouabain,ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|ATP1B4|FXYD2
early,digoxin,ATP1A1|ABCB1|RORC|SLCO1B3
early,talazoparib,PARP2|PARP1
early,pyrvinium-pamoate,AR
early,purmorphamine,SMO|DHH|IHH|PTCH1
early,entinostat,HDAC1|HDAC2|HDAC3|HDAC9
early,calmidazolium,ATP2B1|PDE1A
early,dacinostat,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9
early,lomitapide,MTTP|CYP2B6|CYP2C19|CYP2C8
early,ecopipam,DRD1|DRD5
early,indapamide,SLC12A3|KCNQ1|CA7|KCNE1
early,calmidazolium,ATP2B1|PDE1A
early,strophanthidin,ATP1A1
early,nicergoline,ADRA1A
early,darifenacin,CHRM3|CHRM1|CHRM2|CHRM4|CHRM5
early,acexamic-acid,GAST|SRD5A1
early,prazosin,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CDK1|KCNH2|KCNH6|KCNH7
early,safinamide,MAOB|SLC6A3
early,bendroflumethiazide,SLC12A3|CA1|CA2|CA4|KCNMA1|SLC12A1
early,cyclophosphamide,CYP2B6|CYP2C19|CYP3A5|BCL2|LGALS1|CYP2A6|CYP2C18|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A7
early,asenapine,DRD2|HTR2A|DRD1|HRH1|HTR1A|HTR1B|ADRA1A|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD3|DRD4|HRH2|HTR1D|HTR1E|HTR2B|HTR2C|HTR5A|HTR6|HTR7
early,digitoxigenin,ATP1A1
early,mesoridazine,DRD2|HTR2A
early,dexketoprofen,PTGS2|PTGS1
early,propantheline,CHRM1|CHRM2|CHRM3|CHRM4
early,vicriviroc,CCR5
early,hexachlorophene,ENPP2|GLUD1|SDHD
early,resminostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8
early,vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8|HDAC10|HDAC11|HDAC5|HDAC9
early,everolimus,MTOR|CYP3A5|FKBP1A
early,adarotene,RARG|RARA|RARB
early,verapamil,CACNA1C|CACNA1D|CACNA1G|CACNA1S|CYP2C8|CYP2E1|CYP3A5|CYP3A7|DRD2|CACNA1A|CACNA1B|CACNA1F|CACNA1I|CACNB1|CACNB2|CACNB3|CACNB4|CYP3A4|KCNA10|KCNA7|KCNH2|KCNJ11|NALCN|SCN5A|SLC29A4|SLC6A4
early,ritonavir,CYP3A4|CYP1A2|CYP2B6|CYP2C19|CYP3A5|CYP3A7|CYP2C8|CYP2C9|CYP2D6|CYP2E1
early,dicycloverine,CHRM1|CHRM2|CHRM3
early,memantine,GRIN1|CYP2E1|CHRFAM7A|DRD2|GRIN2A|GRIN2B|GRIN3A|HTR3A
early,menadione,PKM|AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1
early,betulinic-acid,GPBAR1|CASP3|CASP8|TOP1
early,fenofibrate,PPARA|APOA1|CYP2C19|CYP2C8|MMP25
early,amlexanox,FGF1|IL3|PDE4A|PDE4B|PDE4C|PDE4D|S100A12|S100A13
early,metolazone,SLC12A3|CA2|CA7
early,vicriviroc,CCR5
early,ranolazine,SCN5A|SCN9A|SLC22A2|SCN10A|SCN4A
early,nomegestrol-acetate,PGR
early,lapatinib,EGFR|ERBB2|CYP3A5
early,valrubicin,TOP2A
early,trifluridine,TYMS
early,irinotecan,TOP1|CYP3A5|TOP1MT
early,guggulsterone,NR1H4|PGR|AR|NR3C1|NR3C2
early,acarbose,GAA|MGAM|AMY2A|SI
early,strophanthidin,ATP1A1
early,phenethyl-isothiocyanate,CYP2E1
early,zacopride,HTR3A|HTR4|HTR3B|HTR5A
early,aminoglutethimide,CYP19A1|CYP11A1|NR3C1
early,strophanthidin,ATP1A1
early,atorvastatin,HMGCR|DPP4|CYP3A5|FASLG|AHR
early,pyrrolidine-dithiocarbamate,HSD11B1|RELA
early,oxprenolol,ADRB1|ADRB2
early,dinoprostone,PTGER2|PTGER1|PTGER3|PTGER4|CATSPER1|CATSPER2|CATSPER3|CATSPER4|PTGDR|PTGDR2|PTGFR|TBXA2R
early,fenoterol,ADRB2|ADRB1|ADRB3
early,skatole,CYP2F1
early,isoreserpine,SLC18A2|SLC18A1
early,fatostatin,SREBF1|SREBF2
early,calcitriol,VDR|CYP3A5
early,dovitinib,FGFR1|FLT1|KDR|EGFR|FGFR3|FLT3|FLT4|KIT|PDGFRB|CSF1R|FGFR2|INSR|PDGFRA
early,ethylestrenol,AR
early,farnesol,MAOB
early,reboxetine,SLC6A2
early,fraxidin,CA12
early,spiperone,DRD2|ADRA1A|DRD3|DRD4|HTR1A|HTR2A|HTR7|ADRA1B|ADRA1D|DRD1|DRD5|HTR1D|HTR2B|HTR2C|HTR6
early,xamoterol,ADRB1
early,dimethyl-fumarate,KEAP1|NFE2L2
early,edoxaban,F10|CYP3A5
early,nandrolone,NISCH|AR|CYP19A1|MAOA|MAOB
early,rofecoxib,PTGS2|CYP3A4|ELN
early,niacin,HCAR2|HCAR3|DGAT2|HCAR1|NNMT|QPRT
early,methantheline,CHRM1|HRH2
early,clozapine,DRD4|DRD2|DRD3|HTR2A|ADRA1A|ADRA1B|CHRM1|DRD1|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR2C|HTR6|HTR7|CYP2C19|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALY|CHRM2|CHRM3|CHRM4|CHRM5|DRD5|HTR1F|HTR2B|HTR3A|HTR5A
early,etoposide,TOP2A|TOP2B|CYP2E1|CYP3A5
early,m-chlorophenylbiguanide,HTR3A|HTR3B
early,ethoprop,ACHE
early,dexamethasone,NR3C1
early,zatebradine,HCN1|HCN2|HCN3|HCN4
early,fulvestrant,ESR1|EPHX2|ESR2|GPER1
early,hydroxyurea,RRM1|RRM2|RRM2B
early,canagliflozin,SLC5A2|SLC5A1|CYP2B6|CYP2C8
early,ranolazine,SCN5A|SCN9A|SLC22A2|SCN10A|SCN4A
early,apigenin,CYP1A2|MAOA|ODC1|XDH|AKR1B1|AR|CDK6|CFTR|CYP19A1|CYP1B1|HSD17B1
early,tesaglitazar,PPARA|PPARG|INS
early,exemestane,CYP19A1
early,tandutinib,FLT3|KIT|PDGFRA|PDGFRB|CSF1R|PDGFD
early,thiothixene,HTR2A|DRD1|DRD2|HRH1
early,indobufen,PTGS1|PTGS2
early,methysergide,HTR2C|HTR1B|HTR1E|HTR1F|HTR2A|HTR2B|HTR7|HTR1A|HTR1D|HTR5A|HTR6
early,mirodenafil,PDE5A
early,anisomycin,RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1|SNU13
early,withaferin-a,IKBKB|NAMPT
early,zaldaride,CALM1
early,erteberel,ESR2|ESR1
early,benzamil,PKD2L1|SCNN1A|SCNN1B|SCNN1G|ASIC1|SCNN1D|SLC8A1
early,dosulepin,SLC6A2|SLC6A4|CYP2C19|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1
early,clebopride,DRD2|ACHE
early,quinethazone,SLC12A3|CA1|CA2|SLC12A1|SLC12A2
early,mesulergine,HTR2A|HTR2C|HTR7|HTR2B|HTR3A|HTR3B|HTR6
early,doxazosin,ADRA1D|ADRA1A|ADRA1B|CYP2C19|KCNH2|KCNH6|KCNH7
early,rizatriptan,HTR1D|HTR1B|HTR1F|HTR1A|HTR1E
early,thalidomide,TNF|CRBN|CYP1A2|CYP2B6|CYP2C19|CYP3A5|FGFR2|NFKB1|ORM1|ORM2|PTGS2
early,capecitabine,TYMS|DPYD
early,mirtazapine,ADRA2A|HTR2A|HTR2C|ADRA2C|HTR3A|ADRA2B|ADRA1A|ADRA1B|ADRA1D|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD5|HRH1|HRH3|HTR2B|HTR7|OPRK1|SLC6A2|SLC6A3|SLC6A4
early,mefenamic-acid,PTGS2|PTGS1|KCNQ1|TRPM3
early,tolcapone,COMT|TTR
early,bitopertin,SLC6A9|SLC6A5
early,sapropterin,PAH|TH|DBH|NOS3|TPH1
early,alitretinoin,RARG|RARA|RARB|RXRA|RXRG|RXRB
early,aminocaproic-acid,PLG|PLAT|LPA
early,sulfinpyrazone,ABCC1|SLC22A12|ABCC2|FPR1
early,travoprost,PTGFR
early,alectinib,ALK|MET
early,metamizole,PTGS1
early,tolbutamide,ABCC8|KCNJ11|CYP2B6|CYP2C19|CYP2C8|KCNJ1|KCNJ8
early,adiphenine,CHRNA1
early,rosmarinic-acid,MCL1|TYR
early,tacedinaline,HDAC1
early,honokiol,ALOX5|PTGS1|PTGS2
early,erythromycin,MLNR
